icd_code,cghr_code,cghr_label
A37,1,Pneumonia
H65,1,Pneumonia
H66,1,Pneumonia
H67,1,Pneumonia
H68,1,Pneumonia
H70,1,Pneumonia
H71,1,Pneumonia
J00,1,Pneumonia
J01,1,Pneumonia
J02,1,Pneumonia
J03,1,Pneumonia
J04,1,Pneumonia
J05,1,Pneumonia
J06,1,Pneumonia
J07,1,Pneumonia
J08,1,Pneumonia
J09,1,Pneumonia
J10,1,Pneumonia
J11,1,Pneumonia
J12,1,Pneumonia
J13,1,Pneumonia
J14,1,Pneumonia
J15,1,Pneumonia
J16,1,Pneumonia
J17,1,Pneumonia
J18,1,Pneumonia
J19,1,Pneumonia
J20,1,Pneumonia
J21,1,Pneumonia
J22,1,Pneumonia
J32,1,Pneumonia
J36,1,Pneumonia
J85,1,Pneumonia
J86,1,Pneumonia
P23,1,Pneumonia
U04,1,Pneumonia
A00,2,Diarrhoea
A01,2,Diarrhoea
A02,2,Diarrhoea
A03,2,Diarrhoea
A04,2,Diarrhoea
A05,2,Diarrhoea
A06,2,Diarrhoea
A07,2,Diarrhoea
A08,2,Diarrhoea
A09,2,Diarrhoea
S00,7,Injuries
S01,7,Injuries
S02,7,Injuries
S03,7,Injuries
S04,7,Injuries
S05,7,Injuries
S06,7,Injuries
S07,7,Injuries
S08,7,Injuries
S09,7,Injuries
S10,7,Injuries
S11,7,Injuries
S12,7,Injuries
S13,7,Injuries
S14,7,Injuries
S15,7,Injuries
S16,7,Injuries
S17,7,Injuries
S18,7,Injuries
S19,7,Injuries
S20,7,Injuries
S21,7,Injuries
S22,7,Injuries
S23,7,Injuries
S24,7,Injuries
S25,7,Injuries
S26,7,Injuries
S27,7,Injuries
S28,7,Injuries
S29,7,Injuries
S30,7,Injuries
S31,7,Injuries
S32,7,Injuries
S33,7,Injuries
S34,7,Injuries
S35,7,Injuries
S36,7,Injuries
S37,7,Injuries
S38,7,Injuries
S39,7,Injuries
S40,7,Injuries
S41,7,Injuries
S42,7,Injuries
S43,7,Injuries
S44,7,Injuries
S45,7,Injuries
S46,7,Injuries
S47,7,Injuries
S48,7,Injuries
S49,7,Injuries
S50,7,Injuries
S51,7,Injuries
S52,7,Injuries
S53,7,Injuries
S54,7,Injuries
S55,7,Injuries
S56,7,Injuries
S57,7,Injuries
S58,7,Injuries
S59,7,Injuries
S60,7,Injuries
S61,7,Injuries
S62,7,Injuries
S63,7,Injuries
S64,7,Injuries
S65,7,Injuries
S66,7,Injuries
S67,7,Injuries
S68,7,Injuries
S69,7,Injuries
S70,7,Injuries
S71,7,Injuries
S72,7,Injuries
S73,7,Injuries
S74,7,Injuries
S75,7,Injuries
S76,7,Injuries
S77,7,Injuries
S78,7,Injuries
S79,7,Injuries
S80,7,Injuries
S81,7,Injuries
S82,7,Injuries
S83,7,Injuries
S84,7,Injuries
S85,7,Injuries
S86,7,Injuries
S87,7,Injuries
S88,7,Injuries
S89,7,Injuries
S90,7,Injuries
S91,7,Injuries
S92,7,Injuries
S93,7,Injuries
S94,7,Injuries
S95,7,Injuries
S96,7,Injuries
S97,7,Injuries
S98,7,Injuries
S99,7,Injuries
T00,7,Injuries
T01,7,Injuries
T02,7,Injuries
T03,7,Injuries
T04,7,Injuries
T05,7,Injuries
T06,7,Injuries
T07,7,Injuries
T08,7,Injuries
T09,7,Injuries
T10,7,Injuries
T11,7,Injuries
T12,7,Injuries
T13,7,Injuries
T14,7,Injuries
T15,7,Injuries
T16,7,Injuries
T17,7,Injuries
T18,7,Injuries
T19,7,Injuries
T20,7,Injuries
T21,7,Injuries
T22,7,Injuries
T23,7,Injuries
T24,7,Injuries
T25,7,Injuries
T26,7,Injuries
T27,7,Injuries
T28,7,Injuries
T29,7,Injuries
T30,7,Injuries
T31,7,Injuries
T32,7,Injuries
T33,7,Injuries
T34,7,Injuries
T35,7,Injuries
T36,7,Injuries
T37,7,Injuries
T38,7,Injuries
T39,7,Injuries
T40,7,Injuries
T41,7,Injuries
T42,7,Injuries
T43,7,Injuries
T44,7,Injuries
T45,7,Injuries
T46,7,Injuries
T47,7,Injuries
T48,7,Injuries
T49,7,Injuries
T50,7,Injuries
T51,7,Injuries
T52,7,Injuries
T53,7,Injuries
T54,7,Injuries
T55,7,Injuries
T56,7,Injuries
T57,7,Injuries
T58,7,Injuries
T59,7,Injuries
T60,7,Injuries
T61,7,Injuries
T62,7,Injuries
T63,7,Injuries
T64,7,Injuries
T65,7,Injuries
T66,7,Injuries
T67,7,Injuries
T68,7,Injuries
T69,7,Injuries
T70,7,Injuries
T71,7,Injuries
T72,7,Injuries
T73,7,Injuries
T74,7,Injuries
T75,7,Injuries
T76,7,Injuries
T77,7,Injuries
T78,7,Injuries
T79,7,Injuries
T80,7,Injuries
T81,7,Injuries
T82,7,Injuries
T83,7,Injuries
T84,7,Injuries
T85,7,Injuries
T86,7,Injuries
T87,7,Injuries
T88,7,Injuries
T89,7,Injuries
T90,7,Injuries
T91,7,Injuries
T92,7,Injuries
T93,7,Injuries
T94,7,Injuries
T95,7,Injuries
T96,7,Injuries
T97,7,Injuries
T98,7,Injuries
V01,7,Injuries
V02,7,Injuries
V03,7,Injuries
V04,7,Injuries
V05,7,Injuries
V06,7,Injuries
V07,7,Injuries
V08,7,Injuries
V09,7,Injuries
V10,7,Injuries
V11,7,Injuries
V12,7,Injuries
V13,7,Injuries
V14,7,Injuries
V15,7,Injuries
